"","pattern","replacement"
"1"," ab ","  about "
"2"," abt ","  about "
"3"," afaik ","  as far as i know "
"4"," ayfkmwts ","  are you fucking kidding me with this shit "
"5"," b4 ","  before "
"6"," bfn ","  bye for now "
"7"," bgd ","  background "
"8"," bh ","  blockhead "
"9"," br ","  best regards "
"10"," btw ","  by the way "
"11"," cd9 ","  parents are around "
"12"," chk ","  check "
"13"," cul8r ","  see you later "
"14"," dam ","  don’t annoy me "
"15"," dd ","  dear daughter "
"16"," df ","  dear fiance "
"17"," dp ","  profile pic "
"18"," ds ","  dear son "
"19"," dyk ","  did you know "
"20"," em ","  email "
"21"," eml ","  email "
"22"," ema ","  email address "
"23"," f2f ","  face to face "
"24"," ftf ","  face to face "
"25"," fb ","  facebook "
"26"," ff ","  follow friday "
"27"," ffs ","  for fuck‘s sake "
"28"," fml ","  fuck my life "
"29"," fotd ","  find of the day "
"30"," ftw ","  for the win, fuck the world "
"31"," fubar ","  fucked up beyond all repair "
"32"," fwiw ","  for what it's worth "
"33"," gmafb ","  give me a fucking break "
"34"," gtfooh ","  get the fuck out of here "
"35"," gts ","  guess the song "
"36"," hagn ","  have a good night "
"37"," hand ","  have a nice day "
"38"," hotd ","  headline of the day "
"39"," ht ","  heard through "
"40"," hth ","  hope that helps "
"41"," ic ","  i see "
"42"," icymi ","  in case you missed it "
"43"," idk ","  i don't know "
"44"," iirc ","  if i remember correctly "
"45"," imho ","  in my humble opinion "
"46"," irl ","  in real life "
"47"," iwsn ","  i want sex now "
"48"," jk ","  just kidding "
"49"," jsyk ","  just so you know "
"50"," jv ","  joint venture "
"51"," k ","  ok "
"52"," kk ","  ok "
"53"," kyso ","  knock your socks off "
"54"," lhh ","  laugh hella hard "
"55"," lmao ","  laughing my ass off "
"56"," lmk ","  let me know "
"57"," lo ","  little one "
"58"," lol ","  laugh out loud "
"59"," mm ","  music monday "
"60"," mirl ","  meet in real life "
"61"," mrjn ","  marijuana "
"62"," nbd ","  no big deal "
"63"," nct ","  nobody cares, though "
"64"," nfw ","  no fucking way "
"65"," njoy ","  enjoy "
"66"," nsfw ","  not safe for work "
"67"," nts ","  note to self "
"68"," oh ","  overheard "
"69"," omfg ","  oh my fucking god "
"70"," oomf ","  one of my friends "
"71"," orly ","  oh, really "
"72"," plmk ","  please let me know "
"73"," pnp ","  party and play "
"74"," qotd ","  quote of the day "
"75"," re ","  in reply to "
"76"," rlrt ","  real-life re-tweet "
"77"," rtfm ","  read the fucking manual "
"78"," rtq ","  read the question "
"79"," sfw ","  safe for work "
"80"," smdh ","  shaking my damn head "
"81"," smh ","  shaking my head "
"82"," snafu ","  situation normal, all fucked up "
"83"," so ","  significant other "
"84"," sob ","  son of a bitch "
"85"," srs ","  serious "
"86"," stfu ","  shut the fuck up "
"87"," stfw ","  search the fucking web "
"88"," tftf ","  thanks for the follow "
"89"," tftt ","  thanks for this tweet "
"90"," tj ","  tweetjack "
"91"," tl ","  timeline "
"92"," tldr ","  too long, didn’t read "
"93"," tl;dr  ","  too long, didn’t read "
"94"," tmb ","  tweet me back "
"95"," tt ","  trending topic "
"96"," ty ","  thank you "
"97"," tyia ","  thank you in advance "
"98"," tyt ","  take your time "
"99"," tyvw ","  thank you very much "
"100"," w ","  with "
"101"," w/ ","  with "
"102"," w/e ","  whatever "
"103"," we ","  weekend "
"104"," wtv ","  whatever "
"105"," ygtr ","  you got that right "
"106"," ykwim ","  you know what i mean "
"107"," ykyat ","  you know you're addicted to "
"108"," ymmv ","  your mileage may vary "
"109"," yolo ","  you only live once "
"110"," yoyo ","  you're on your own "
"111"," yw ","  you're welcome "
"112"," zomg ","  omg to the max "
"113"," cc ","  carbon-copy works the same way as email "
"114"," cx ","  correction "
"115"," ct ","  cuttweet "
"116"," dm ","  direct message "
"117"," ht ","  hat tip "
"118"," mt ","  modified tweet "
"119"," prt ","  partial retweet "
"120"," prt ","  please retweet "
"121"," rt ","  retweet "
"122"," em ","  email marketing "
"123"," ezine ","  electronic magazine "
"124"," fb ","  facebook "
"125"," li ","  linkedin "
"126"," seo ","  search engine optimization "
"127"," sm ","  social media "
"128"," smm ","  social media marketing "
"129"," smo ","  social media optimization "
"130"," sn ","  social network "
"131"," sroi ","  social return on investment "
"132"," ugc ","  user generated content "
"133"," yt ","  youtube "
"134"," u "," you "
"135"," cant "," can't "
"136"," y "," why "
